,exclusivity_code,exclusivity_code_desc,edition
212,I-56,INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY,1988
213,I-57,PERIPHERAL VENOGRAPHY (PHLEBOGRAPHY),1988
214,I-58,EXCRETORY UROGRAPHY,1988
215,I-59,ARTHROGRAPHY,1988
216,I-60,HYSTEROSALPINGOGRAPHY,1988
217,I-61,AORTOGRAPHY,1988
218,I-62,TREATMENT OF JUVENILE ARTHRITIS,1988
219,I-63,BIOPSY PROVEN MINIMAL CHANGE NEPHROTIC SYNDROME IN CHILDREN,1988
220,I-64,LONG-TERM TREATMENT OF ANGINA PECTORIS,1988
221,I-65,ADULT INTRAVENOUS CONTRAST-ENHANCED COMPUTED TOMOGRAPHY OF THE HEAD AND BODY,1988
222,I-66,PREVENTION OF POSTOPERATIVE NAUSEA AND VOMITING,1988
223,I-67,PREVENTION OF POSTOPERATIVE DEEP VENOUS THROMBOSIS AND PULMONARY EMBOLISM IN TOTAL HIP REPLACEMENT SURGERY,1988
224,I-68,RELIEF OF MILD TO MODERATE PAIN,1988
225,I-69,TREATMENT OF CUTANEOUS CANDIDIASIS,1988
226,I-70,URINARY TRACT INFECTION (UTI) PREVENTION FOR PERIODS UP TO FIVE MONTT^JN WOMEN WITH A HISTORY OF RECURRENT'UTI’S /,1988
227,I-71,SEBORRHEIC DERMATITIS,1988
228,NP,NEW PRODUCT,1989
229,PC,PATENT CHALLENGE,1989
230,NCE,NEW CHEMICAL ENTITY,1989
231,NC,NEW COMBINATION,1989
232,NDF,NEW DOSAGE FORM,1989
233,NR,NEW ROUTE,1989
234,D,"NEW DOSING SCHEDULE (SEE REFERENCES, BELOW)",1989
235,I,"NEW INDICATION (SEE REFERENCES, BELOW)",1989
236,NE,NEW ESTER OR SALT OF AN ACTIVE INGREDIENT,1989
237,ODE,ORPHAN DRUG EXCLUSIVITY,1989
238,NS,NEW STRENGTH,1989
239,D-1,ONCE A DAY APPLICATION,1989
240,D-2,ONCE DAILY DOSING,1989
241,D-3,SEVEN DAYS/SEVEN DAYS/SEVEN DAYS DOSING SCHEDULE,1989
242,D-4,SEVEN DAYS/FOURTEEN DAYS DOSING SCHEDULE,1989
243,D-5,TEN DAYS/ELEVEN DAYS DOSING SCHEDULE,1989
244,D-6,SEVEN DAYS/NINE DAYS/FIVE DAYS DOSING SCHEDULE,1989
245,D-7,BID DOSING,1989
246,D-8,"INTRAVENOUS, EPIDURAL AND INTRATHECAL DOSING",1989
247,D-9,NARCOTIC OVERDOSE IN ADULTS,1989
248,D-10,NARCOTIC OVERDOSE IN CHILDREN,1989
249,D-11,POSTOPERATIVE NARCOTIC DEPRESSION IN CHILDREN,1989
250,D-12,BEDTIME DOSING OF 800MG FOR TREATMENT OF ACTIVE DUODENAL ULCER,1989
251,D-13,INCREASED MAXIMUM DAILY DOSAGE RECOMMENDATION,1989
252,D-14,BEDTIME DOSING OF 800MG FOR TREATMENT OF ACTIVE BENIGN GASTRIC ULCER,1989
253,D-15,SINGLE DAILY DOSE OF 25MG/37.5MG,1989
254,I-1,SEVERE HYPERTENSION IN PEDIATRICS AND NONMALIGNANT HYPERTENSION,1989
255,I-2,DYSMENORRHEA,1989
256,I-3,TREATMENT OF TINEA VERSICOLOR,1989
257,I-4,SYMPTOMATIC GASTROESOPHAGEAL REFLUX,1989
258,I-5,NEPHROTOMOGRAPHY,1989
259,I-6,CONTRAST ENHANCEMENT IN CRANIAL COMPUTED TOMOGRAPHY,1989
260,I-7,VENOGRAPHY OF LOWER EXTREMITIES,1989
261,I-8,WHOLE-BODY COMPUTED TOMOGRAPHY,1989
262,I-9,GATED CARDIAC POOL IMAGING,1989
263,I-10,POST-MYOCARDIAL INFARCTION,1989
264,I-11,COLORECTAL SURGERY,1989
265,I-12,NAUSEA AND VOMITING ASSOCIATED WITH EMETOGENIC CANCER CHEMOTHERAPY,1989
266,I-13,CISPLATIN-INDUCED EMESIS,1989
267,I-14,DIABETIC GASTROPARESIS,1989
268,I-15,SHORT-TERM TREATMENT OF GASTRIC ULCER DISEASE,1989
269,I-16,ACROMEGALY,1989
270,I-17,PITUITARY TUMORS,1989
271,I-18,POSTMENOPAUSAL OSTEOPOROSIS,1989
272,I-19,CHOLANGIOPANCREATOGRAPHY,1989
273,I-20,CONGESTIVE HEART FAILURE BID DOSAGE SCHEDULE,1989
274,I-21,ACUTE OTITIS MEDIA,1989
275,I-22,EXERCISE-INDUCED BRONCHOSPASMS,1989
276,I-23,MYOCARDIAL INFARCTION OR STROKE,1989
277,I-24,COMBINED USE WITH NICOTINIC ACID TO LOWER CHOLESTEROL LEVEL,1989
278,I-25,BLASTOMYCOSES DERMATITIDES,1989
279,I-26,PEDIATRIC SUBARACHNOID VASCULAR,1989
280,I-27,PETRIELLIDIUM BOYDII INFECTION,1989
281,I-28,HEREDITARY ANGIOEDEMA,1989
282,I-29,INTRACORONARY USE,1989
283,I-30,PEDIATRIC USE,1989
284,I-31,DIRECT ISOTOPIC CYSTOGRAPHY,1989
285,I-32,POSTPARTUM HEMORRHAGE,1989
286,I-33,USE IN METHADONE-INDUCED RESPIRATORY DEPRESSION,1989
287,I-34,PROLACTIN SECRETING ADENOMAS,1989
288,I-35,ANGINA PECTORIS DUE TO CORONARY ATHEROSCLEROSIS,1989
289,I-36,ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY,1989
290,I-37,SPINAL ANESTHESIA,1989
291,I-38,PATIENT PREOPERATIVE SKIN PREPARATION,1989
292,I-39,ADJUVANT WITH CHEMOTHERAPY FOR TREATMENT OF BREAST CANCER FOLLOWING MASTECTOMY,1989
293,I-40,ANTIDOTE FOR ACETAMINOPHEN OVERDOSE,1989
294,I-41,MANAGEMENT OF HYPOCALCEMIA AND RESULTANT METABOLIC BONE DISEASE IN RENAL DIALYSIS PATIENTS,1989
295,I-42,MAINTENANCE THERAPY AT REDUCED DOSE FOLLOWING HEALING OF ACUTE DUODENAL ULCER,1989
296,I-43,TREATMENT OF GASTROESOPHAGEAL REFLUX DISEASE,1989
297,I-44,TREATMENT OF SEVERE RECALCITRANT DERMATOPHYTE INFECTIONS,1989
298,I-45,ACCELERATE BARIUM TRANSIT THEREBY DECREASING TIME AND EXTENT OF RADIATION TO INTESTINAL TRACT,1989
299,I-46,TREATMENT OF SMALL CELL LUNG CANCER IN COMBINATION WITH OTHER APPROVED CHEMOTHERAPEUTIC DRUGS,1989
300,I-47,USE IN BALANCED ANESTHESIA,1989
301,I-48,MANAGEMENT OF FAMILIAL OR HEREDITARY ESSENTIAL TREMOR,1989
302,I-49,ADJUNCT TO COUMARIN ANTICOAGULANTS IN PREVENTION OF POSTOPERATIVE THROMBOEMBOLIC COMPLICATIONS OF CARDIAC VALVE REPLACEMENTS,1989
303,I-50,TREATMENT OF ARRHYTHMIAS,1989
304,I-51,MANAGEMENT OF ESSENTIAL HYPERTENSION,1989
305,I-52,CERVICAL MYELOGRAPHY,1989
306,I-53,USE AS SINGLE AGENT TO DELAY BREAST CANCER RECURRENCE FOLLOWING TOTAL MASTECTOMY AND AXILLARY DISSECTION IN POSTMENOPAUSAL WOMEN,1989
307,I-54,CONTRAST ENHANCEMENT OF COMPUTED TOMOGRAPHIC BODY IMAGING,1989
308,I-55,PEDIATRIC ANGIOCARDIOGRAPHY,1989
309,I-56,INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY,1989
310,I-57,PERIPHERAL VENOGRAPHY (PHLEBOGRAPHY),1989
311,I-58,EXCRETORY UROGRAPHY,1989
312,I-59,ARTHROGRAPHY,1989
313,I-60,HYSTEROSALPINGOGRAPHY,1989
314,I-61,AORTOGRAPHY,1989
315,I-62,TREATMENT OF JUVENILE ARTHRITIS,1989
316,I-63,BIOPSY PROVEN MINIMAL CHANGE NEPHROTIC SYNDROME IN CHILDREN,1989
317,I-64,LONG-TERM TREATMENT OF ANGINA PECTORIS,1989
318,I-65,ADULT INTRAVENOUS CONTRAST-ENHANCED COMPUTED TOMOGRAPHY OF THE HEAD AND BODY,1989
319,I-66,PREVENTION OF POSTOPERATIVE NAUSEA AND VOMITING,1989
320,I-67,PREVENTION OF POSTOPERATIVE DEEP VENOUS THROMBOSIS AND PULMONARY EMBOLISM IN TOTAL HIP REPLACEMENT SURGERY,1989
321,I-68,RELIEF OF MILD TO MODERATE PAIN,1989
322,I-69,TREATMENT OF CUTANEOUS CANDIDIASIS,1989
323,I-70,URINARY TRACT INFECTION (UTI) PREVENTION FOR PERIODS UP TO FIVE MONTHS IN WOMEN WITH A HISTORY OF RECURRENT UTIS,1989
324,I-71,SEBORRHEIC DERMATITIS,1989
325,I-72,PHOTOPHERESIS IN THE PALLIATIVE TREATMENT OF SKIN MANIFESTATIONS OF CUTANEOUS T-CELL LYMPHOMA IN PERSONS NOT RESPONSIVE TO OTHER TREATMENT,1989
326,I-73,FOLLICULAR STIMULATION IN IN VITRO FERTILIZATION,1989
327,I-74,MANAGEMENT OF CONGESTIVE HEART FAILURE,1989
328,I-75,ENDOSCOPIC RETROGRADE PANCREATOGRAPHY,1989
329,I-76,HERNIOGRAPHY,1989
330,I-77,KNEE ARTHROGRAPHY,1989
331,I-78,HIGH DOSE METHOTREXATE WITH LEUCOVORIN RESCUE IN COMBINATION WITH OTHER CHEMOTHERAPEUTIC AGENTS TO DELAY RECURRENCE IN PATIENTS WITH NONMETASTATIC OSTEOSARCOMA WHO HAVE UNDERGONE SURGICAL RESECTION OR AMPUTATION FOR THE PRIMARY TUMOR,1989
332,I-79,RESCUE AFTER HIGH-DOSE METHOTREXATE THERAPY IN OSTEOSARCOMA,1989
333,I-80,SHORT TERM TREATMENT OF ACTIVE BENIGN GASTRIC ULCER,1989
334,I-81,TREATMENT OF RHEUMATOID ARTHRITIS,1989
335,I-82,"ADULT INTRA-ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY OF THE HEAD, NECK, ABDOMINAL, RENAL AND PERIPHERAL VESSELS",1989
336,I-83,TREATMENT OF LIVER FLUKES,1989
337,NCE,NEW CHEMICAL ENTITY,1990
338,NP,NEW PRODUCT,1990
339,NS,NEW STRENGTH,1990
340,PC,PATENT CHALLENGE,1990
341,D,"NEW DOSING SCHEDULE (SEE REFERENCES, BELOW)",1990
342,NE,NEW ESTER OR SALT OF AN ACTIVE INGREDIENT,1990
343,ODE,ORPHAN DRUG EXCLUSIVITY,1990
344,NDF,NEW DOSAGE FORM,1990
345,I,"NEW INDICATION (SEE REFERENCES, BELOW)",1990
346,NR,NEW ROUTE,1990
347,NC,NEW COMBINATION,1990
348,D-1,ONCE A DAY APPLICATION,1990
349,D-2,ONCE DAILY DOSING,1990
350,D-3,SEVEN DAYS/SEVEN DAYS/SEVEN DAYS DOSING SCHEDULE,1990
351,D-4,SEVEN DAYS/FOURTEEN DAYS DOSING SCHEDULE,1990
352,D-5,TEN DAYS/ELEVEN DAYS DOSING SCHEDULE,1990
353,D-6,SEVEN DAYS/NINE DAYS/FIVE DAYS DOSING SCHEDULE,1990
354,D-7,BID DOSING,1990
355,D-8,"INTRAVENOUS, EPIDURAL AND INTRATHECAL DOSING",1990
356,D-9,NARCOTIC OVERDOSE IN ADULTS,1990
357,D-10,NARCOTIC OVERDOSE IN CHILDREN,1990
358,D-11,POSTOPERATIVE NARCOTIC DEPRESSION IN CHILDREN,1990
359,D-12,BEDTIME DOSING OF 800MG FOR TREATMENT OF ACTIVE DUODENAL ULCER,1990
360,D-13,INCREASED MAXIMUM DAILY DOSAGE RECOMMENDATION,1990
361,D-14,BEDTIME DOSING OF 800MG FOR TREATMENT OF ACTIVE BENIGN GASTRIC ULCER,1990
362,D-15,SINGLE DAILY DOSE OF 25MG/37.5MG,1990
363,D-16,CONTINUOUS INTRAVENOUS INFUSION,1990
364,I-1,DYSMENORRHEA,1990
365,I-2,CHOLANGIOPANCREATOGRAPHY,1990
366,I-3,INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY,1990
367,I-4,PERIPHERAL VENOGRAPHY (PHLEBOGRAPHY),1990
368,I-5,HYSTEROSALPINGOGRAPHY,1990
369,I-6,TREATMENT OF JUVENILE ARTHRITIS,1990
370,I-7,BIOPSY PROVEN MINIMAL CHANGE NEPHROTIC SYNDROME IN CHILDREN,1990
371,I-8,ADULT INTRAVENOUS CONTRAST-ENHANCED COMPUTED TOMOGRAPHY OF THE HEAD AND BODY,1990
372,I-9,PREVENTION OF POSTOPERATIVE NAUSEA AND VOMITING,1990
373,I-10,PREVENTION OF POSTOPERATIVE DEEP VENOUS THROMBOSIS AND PULMONARY EMBOLISM IN TOTAL HIP REPLACEMENT SURGERY,1990
374,I-11,RELIEF OF MILD TO MODERATE PAIN,1990
375,I-12,TREATMENT OF CUTANEOUS CANDIDIASIS,1990
376,I-13,URINARY TRACT INFECTION (UTI) PREVENTION FOR PERIODS UP TO FIVE MONTHS IN WOMEN WITH A HISTORY OF RECURRENT UTI,1990
