,edition,application_type,application_number,product_number,exclusivity_code,exclusivity_expiration,active_ingredient,trade_name,observation_count
90,1985,N/A,017862,001,I-14,1986-09-24,N/A,N/A,1
91,1985,N/A,017892,001,NCE,1992-11-15,N/A,N/A,1
92,1985,N/A,017892,002,NCE,1992-11-15,N/A,N/A,1
93,1985,N/A,017892,003,NCE,1992-11-15,N/A,N/A,1
94,1985,N/A,017902,001,I-6,1986-09-24,N/A,N/A,1
95,1985,N/A,017903,001,I-6,1986-09-24,N/A,N/A,1
96,1985,N/A,017920,004,NS,1986-09-24,N/A,N/A,1
97,1985,N/A,017943,003,NS,1986-09-24,N/A,N/A,1
98,1985,N/A,017944,001,NP,1986-09-24,N/A,N/A,1
99,1985,N/A,017952,002,NS,1986-09-24,N/A,N/A,1
100,1985,N/A,017961,001,NCE,1992-05-07,N/A,N/A,1
101,1985,N/A,017962,001,I-16,1987-12-14,N/A,N/A,1
102,1985,N/A,017962,001,I-34,1988-06-28,N/A,N/A,1
103,1985,N/A,017962,002,I-16,1987-12-14,N/A,N/A,1
104,1985,N/A,017962,002,I-34,1988-06-28,N/A,N/A,1
105,1985,N/A,017982,001,I-26,1986-09-24,N/A,N/A,1
106,1985,N/A,017982,002,I-26,1986-09-24,N/A,N/A,1
107,1985,N/A,017989,001,I-32,1988-03-21,N/A,N/A,1
108,1985,N/A,018024,002,NS,1986-09-24,N/A,N/A,1
109,1985,N/A,018029,001,NDF,1986-09-24,N/A,N/A,1
110,1985,N/A,018040,001,I-27,1986-09-24,N/A,N/A,1
111,1985,N/A,018050,001,NDF,1986-09-24,N/A,N/A,1
112,1985,N/A,018057,003,NDF,1986-09-24,N/A,N/A,1
113,1985,N/A,018104,001,NCE,1992-12-29,N/A,N/A,1
114,1985,N/A,018104,002,NCE,1992-12-29,N/A,N/A,1
115,1985,N/A,018110,001,NS,1986-09-24,N/A,N/A,1
116,1985,N/A,018117,001,NDF,1986-09-24,N/A,N/A,1
117,1985,N/A,018118,001,NDF,1986-09-24,N/A,N/A,1
118,1985,N/A,018118,002,NDF,1986-09-24,N/A,N/A,1
119,1985,N/A,018118,003,NDF,1986-09-24,N/A,N/A,1
120,1985,N/A,018118,004,NS,1986-09-24,N/A,N/A,1
121,1985,N/A,018123,001,NCE,1992-09-30,N/A,N/A,1
122,1985,N/A,018123,002,NCE,1992-09-30,N/A,N/A,1
123,1985,N/A,018123,003,NCE,1992-09-30,N/A,N/A,1
124,1985,N/A,018132,002,NC,1986-09-24,N/A,N/A,1
125,1985,N/A,018132,003,NC,1986-09-24,N/A,N/A,1
126,1985,N/A,018144,003,NS,1986-09-24,N/A,N/A,1
127,1985,N/A,018147,002,NCE,1992-04-06,N/A,N/A,1
128,1985,N/A,018147,003,NCE,1992-04-06,N/A,N/A,1
129,1985,N/A,018152,001,NS,1986-09-24,N/A,N/A,1
130,1985,N/A,018155,001,NDF,1987-10-03,N/A,N/A,1
131,1985,N/A,018166,001,NCE,1993-12-28,N/A,N/A,1
132,1985,N/A,018166,002,NCE,1993-12-28,N/A,N/A,1
133,1985,N/A,018166,003,NCE,1993-12-28,N/A,N/A,1
134,1985,N/A,018166,004,NCE,1993-12-28,N/A,N/A,1
135,1985,N/A,018185,001,NDF,1986-09-24,N/A,N/A,1
136,1985,N/A,018197,001,I-2,1986-09-24,N/A,N/A,1
137,1985,N/A,018197,002,I-2,1986-09-24,N/A,N/A,1
138,1985,N/A,018224,001,NCE,1989-12-31,N/A,N/A,1
139,1985,N/A,018224,002,NCE,1989-12-31,N/A,N/A,1
140,1985,N/A,018225,001,NCE,1993-02-28,N/A,N/A,1
141,1985,N/A,018225,002,NCE,1993-02-28,N/A,N/A,1
142,1985,N/A,018225,003,NCE,1993-02-28,N/A,N/A,1
143,1985,N/A,018226,001,NCE,1993-02-28,N/A,N/A,1
144,1985,N/A,018227,001,NCE,1992-09-07,N/A,N/A,1
145,1985,N/A,018232,001,NR,1986-09-24,N/A,N/A,1
146,1985,N/A,018257,001,NCE,1989-11-09,N/A,N/A,1
147,1985,N/A,018257,002,NCE,1989-11-09,N/A,N/A,1
148,1985,N/A,018285,001,NCE,1992-09-03,N/A,N/A,1
149,1985,N/A,018285,002,NCE,1992-09-03,N/A,N/A,1
150,1985,N/A,018285,003,NCE,1992-09-03,N/A,N/A,1
151,1985,N/A,018289,001,NCE,1989-12-28,N/A,N/A,1
152,1985,N/A,018298,001,NDF,1986-09-24,N/A,N/A,1
153,1985,N/A,018303,001,NC,1987-12-31,N/A,N/A,1
154,1985,N/A,018303,002,NC,1987-12-31,N/A,N/A,1
155,1985,N/A,018303,003,NC,1987-12-31,N/A,N/A,1
156,1985,N/A,018306,001,NDF,1986-09-24,N/A,N/A,1
157,1985,N/A,018340,001,NDF,1986-09-24,N/A,N/A,1
158,1985,N/A,018342,001,NDF,1986-09-24,N/A,N/A,1
159,1985,N/A,018342,002,NDF,1986-09-24,N/A,N/A,1
160,1985,N/A,018343,001,D-7,1987-10-12,N/A,N/A,1
161,1985,N/A,018343,001,I-20,1986-09-24,N/A,N/A,1
162,1985,N/A,018343,002,D-7,1987-10-12,N/A,N/A,1
163,1985,N/A,018343,002,I-20,1986-09-24,N/A,N/A,1
164,1985,N/A,018343,003,D-7,1987-10-12,N/A,N/A,1
165,1985,N/A,018343,003,I-20,1986-09-24,N/A,N/A,1
166,1985,N/A,018343,005,D-7,1987-10-12,N/A,N/A,1
167,1985,N/A,018343,005,I-20,1986-09-24,N/A,N/A,1
168,1985,N/A,018353,001,I-11,1987-12-20,N/A,N/A,1
169,1985,N/A,018353,002,I-11,1987-12-20,N/A,N/A,1
170,1985,N/A,018354,001,D-5,1986-09-24,N/A,N/A,1
171,1985,N/A,018354,002,D-5,1986-09-24,N/A,N/A,1
172,1985,N/A,018366,001,NCE,1993-12-29,N/A,N/A,1
173,1985,N/A,018388,003,NS,1986-09-24,N/A,N/A,1
174,1985,N/A,018406,002,NC,1986-09-24,N/A,N/A,1
175,1985,N/A,018445,001,NCE,1992-04-19,N/A,N/A,1
176,1985,N/A,018445,002,NCE,1992-04-19,N/A,N/A,1
177,1985,N/A,018458,001,NC,1986-09-24,N/A,N/A,1
178,1985,N/A,018461,004,NS,1986-09-24,N/A,N/A,1
179,1985,N/A,018467,001,NP,1986-09-24,N/A,N/A,1
180,1985,N/A,018506,001,NC,1986-09-24,N/A,N/A,1
181,1985,N/A,018508,001,NC,1986-09-24,N/A,N/A,1
182,1985,N/A,018513,002,NCE,1993-07-28,N/A,N/A,1
183,1985,N/A,018519,001,NC,1986-09-24,N/A,N/A,1
184,1985,N/A,018520,001,NDF,1986-09-24,N/A,N/A,1
185,1985,N/A,018533,001,I-25,1986-09-24,N/A,N/A,1
186,1985,N/A,018536,001,NCE,1992-10-01,N/A,N/A,1
187,1985,N/A,018536,002,NCE,1992-10-01,N/A,N/A,1
188,1985,N/A,018537,002,NDF,1986-09-24,N/A,N/A,1
189,1985,N/A,018538,001,NCE,1993-07-06,N/A,N/A,1
190,1985,N/A,018551,001,NDF,1986-09-24,N/A,N/A,1
191,1985,N/A,018553,001,NDF,1986-09-24,N/A,N/A,1
192,1985,N/A,018553,002,NDF,1986-09-24,N/A,N/A,1
193,1985,N/A,018553,003,NDF,1986-09-24,N/A,N/A,1
194,1985,N/A,018556,001,NS,1986-09-24,N/A,N/A,1
195,1985,N/A,018565,001,D-8,1986-09-24,N/A,N/A,1
196,1985,N/A,018565,001,NR,1986-09-24,N/A,N/A,1
197,1985,N/A,018565,002,D-8,1986-09-24,N/A,N/A,1
198,1985,N/A,018565,002,NR,1986-09-24,N/A,N/A,1
199,1985,N/A,018582,001,NC,1986-09-24,N/A,N/A,1
200,1985,N/A,018586,001,NDF,1986-09-24,N/A,N/A,1
201,1985,N/A,018587,001,NCE,1992-09-07,N/A,N/A,1
202,1985,N/A,018587,002,NCE,1992-09-07,N/A,N/A,1
203,1985,N/A,018588,002,NDF,1986-09-24,N/A,N/A,1
204,1985,N/A,018593,001,NR,1986-09-24,N/A,N/A,1
205,1985,N/A,018593,002,NR,1986-09-24,N/A,N/A,1
206,1985,N/A,018594,001,NDF,1986-09-24,N/A,N/A,1
207,1985,N/A,018596,001,I-22,1988-01-19,N/A,N/A,1
208,1985,N/A,018602,001,NCE,1992-11-05,N/A,N/A,1
209,1985,N/A,018602,002,NCE,1992-11-05,N/A,N/A,1
210,1985,N/A,018603,001,NCE,1992-03-29,N/A,N/A,1
211,1985,N/A,018604,001,NCE,1992-03-29,N/A,N/A,1
212,1985,N/A,018608,001,NC,1986-09-24,N/A,N/A,1
213,1985,N/A,018612,001,NCE,1994-01-13,N/A,N/A,1
214,1985,N/A,018613,001,NCE,1992-08-02,N/A,N/A,1
215,1985,N/A,018621,001,NDF,1986-09-24,N/A,N/A,1
216,1985,N/A,018625,001,NCE,1992-11-10,N/A,N/A,1
217,1985,N/A,018631,001,NCE,1994-08-30,N/A,N/A,1
218,1985,N/A,018647,001,NC,1986-09-24,N/A,N/A,1
219,1985,N/A,018647,002,NC,1986-09-24,N/A,N/A,1
220,1985,N/A,018651,001,NCE,1990-05-31,N/A,N/A,1
221,1985,N/A,018651,002,NCE,1990-05-31,N/A,N/A,1
222,1985,N/A,018651,003,NCE,1990-05-31,N/A,N/A,1
223,1985,N/A,018655,001,NDF,1986-09-24,N/A,N/A,1
224,1985,N/A,018655,002,NDF,1986-09-24,N/A,N/A,1
225,1985,N/A,018657,001,I-11,1987-12-20,N/A,N/A,1
226,1985,N/A,018658,001,NDF,1986-09-24,N/A,N/A,1
227,1985,N/A,018662,002,NCE,1992-05-07,N/A,N/A,1
228,1985,N/A,018662,003,NCE,1992-05-07,N/A,N/A,1
229,1985,N/A,018662,004,NCE,1992-05-07,N/A,N/A,1
230,1985,N/A,018663,001,NCE,1992-11-10,N/A,N/A,1
231,1985,N/A,018663,002,NCE,1992-11-10,N/A,N/A,1
232,1985,N/A,018668,001,NC,1986-09-24,N/A,N/A,1
233,1985,N/A,018669,001,NCE,1992-05-14,N/A,N/A,1
234,1985,N/A,018672,001,NDF,1986-09-24,N/A,N/A,1
235,1985,N/A,018672,002,NDF,1986-09-24,N/A,N/A,1
236,1985,N/A,018675,001,NDF,1988-06-28,N/A,N/A,1
237,1985,N/A,018676,001,NS,1986-09-24,N/A,N/A,1
238,1985,N/A,018678,001,NS,1987-09-28,N/A,N/A,1
239,1985,N/A,018682,001,NCE,1986-09-24,N/A,N/A,1
240,1985,N/A,018683,001,NDF,1986-09-24,N/A,N/A,1
241,1985,N/A,018684,001,NS,1987-09-28,N/A,N/A,1
242,1985,N/A,018685,001,NP,1986-09-24,N/A,N/A,1
243,1985,N/A,018685,002,NP,1986-09-24,N/A,N/A,1
244,1985,N/A,018686,001,NCE,1994-08-01,N/A,N/A,1
245,1985,N/A,018687,002,NCE,1994-08-01,N/A,N/A,1
246,1985,N/A,018687,003,NCE,1994-08-01,N/A,N/A,1
247,1985,N/A,018687,004,NCE,1994-08-01,N/A,N/A,1
248,1985,N/A,018689,001,NCE,1990-05-24,N/A,N/A,1
249,1985,N/A,018692,001,NC,1986-09-24,N/A,N/A,1
250,1985,N/A,018700,001,NCE,1994-07-31,N/A,N/A,1
251,1985,N/A,018702,001,NCE,1992-12-14,N/A,N/A,1
252,1985,N/A,018703,001,I-15,1988-06-28,N/A,N/A,1
253,1985,N/A,018703,001,NCE,1993-06-09,N/A,N/A,1
254,1985,N/A,018704,001,NDF,1986-09-24,N/A,N/A,1
255,1985,N/A,018706,001,NDF,1986-09-24,N/A,N/A,1
256,1985,N/A,018707,001,NCE,1992-12-14,N/A,N/A,1
257,1985,N/A,018709,001,NC,1987-10-12,N/A,N/A,1
258,1985,N/A,018709,002,NC,1987-10-12,N/A,N/A,1
259,1985,N/A,018709,003,NC,1987-10-12,N/A,N/A,1
260,1985,N/A,018709,004,NC,1987-10-12,N/A,N/A,1
261,1985,N/A,018713,001,NDF,1986-09-24,N/A,N/A,1
262,1985,N/A,018714,001,NCE,1992-12-29,N/A,N/A,1
263,1985,N/A,018716,001,NCE,1994-08-01,N/A,N/A,1
264,1985,N/A,018716,002,NCE,1994-08-01,N/A,N/A,1
265,1985,N/A,018716,003,NCE,1994-08-01,N/A,N/A,1
266,1985,N/A,018716,004,NCE,1994-08-01,N/A,N/A,1
267,1985,N/A,018719,001,NCE,1989-12-21,N/A,N/A,1
268,1985,N/A,018719,002,NCE,1989-12-21,N/A,N/A,1
269,1985,N/A,018723,001,NE,1986-09-24,N/A,N/A,1
270,1985,N/A,018723,002,NE,1986-09-24,N/A,N/A,1
271,1985,N/A,018726,001,NDF,1986-09-24,N/A,N/A,1
272,1985,N/A,018733,001,NC,1986-09-24,N/A,N/A,1
273,1985,N/A,018748,001,NCE,1992-12-30,N/A,N/A,1
274,1985,N/A,018749,001,NCE,1993-05-31,N/A,N/A,1
275,1985,N/A,018751,001,NCE,1992-12-23,N/A,N/A,1
276,1985,N/A,018757,002,NCE,1992-12-28,N/A,N/A,1
277,1985,N/A,018760,001,NC,1986-09-24,N/A,N/A,1
278,1985,N/A,018760,002,NC,1986-09-24,N/A,N/A,1
279,1985,N/A,018762,001,NDF,1986-09-24,N/A,N/A,1
280,1985,N/A,018763,001,NDF,1986-09-24,N/A,N/A,1
281,1985,N/A,018768,001,NCE,1993-11-10,N/A,N/A,1
282,1985,N/A,018770,001,NCE,1989-12-28,N/A,N/A,1
283,1985,N/A,018774,001,NDF,1986-09-24,N/A,N/A,1
284,1985,N/A,018776,002,NCE,1994-04-30,N/A,N/A,1
285,1985,N/A,018782,001,NC,1986-09-24,N/A,N/A,1
286,1985,N/A,018792,001,NS,1986-09-24,N/A,N/A,1
287,1985,N/A,018795,001,NP,1986-09-24,N/A,N/A,1
288,1985,N/A,018796,001,NDF,1987-10-01,N/A,N/A,1
289,1985,N/A,018799,001,NDF,1986-09-24,N/A,N/A,1
290,1985,N/A,018804,001,NS,1986-09-24,N/A,N/A,1
291,1985,N/A,018804,002,NC,1986-09-24,N/A,N/A,1
292,1985,N/A,018814,001,NC,1986-09-24,N/A,N/A,1
293,1985,N/A,018817,001,NR,1986-09-24,N/A,N/A,1
294,1985,N/A,018817,002,NR,1986-09-24,N/A,N/A,1
295,1985,N/A,018821,001,NDF,1986-09-24,N/A,N/A,1
296,1985,N/A,018826,001,NC,1986-09-24,N/A,N/A,1
297,1985,N/A,018826,002,NC,1986-09-24,N/A,N/A,1
298,1985,N/A,018826,003,NC,1986-09-24,N/A,N/A,1
299,1985,N/A,018827,001,NC,1986-09-24,N/A,N/A,1
300,1985,N/A,018828,001,NCE,1992-03-29,N/A,N/A,1
301,1985,N/A,018831,001,NCE,1993-11-23,N/A,N/A,1
302,1985,N/A,018849,001,NDF,1986-09-24,N/A,N/A,1
303,1985,N/A,018875,001,NS,1986-09-24,N/A,N/A,1
304,1985,N/A,018875,002,NC,1986-09-24,N/A,N/A,1
305,1985,N/A,018885,001,NC,1987-11-30,N/A,N/A,1
306,1985,N/A,018885,002,NC,1987-11-30,N/A,N/A,1
307,1985,N/A,018888,001,NS,1986-09-24,N/A,N/A,1
308,1985,N/A,018891,001,NR,1987-10-10,N/A,N/A,1
309,1985,N/A,018891,002,NR,1987-10-10,N/A,N/A,1
310,1985,N/A,018891,003,NR,1987-10-10,N/A,N/A,1
311,1985,N/A,018892,001,NP,1986-09-24,N/A,N/A,1
312,1985,N/A,018893,001,PP,1986-09-24,N/A,N/A,1
313,1985,N/A,018895,001,NC,1986-09-24,N/A,N/A,1
314,1985,N/A,018896,001,NDF,1986-09-24,N/A,N/A,1
315,1985,N/A,018904,001,NC,1986-09-24,N/A,N/A,1
316,1985,N/A,018905,002,NCE,1990-07-26,N/A,N/A,1
317,1985,N/A,018917,001,NCE,1989-12-28,N/A,N/A,1
318,1985,N/A,018917,003,NCE,1989-12-28,N/A,N/A,1
319,1985,N/A,018931,001,NS,1986-09-24,N/A,N/A,1
320,1985,N/A,018932,001,NCE,1989-11-20,N/A,N/A,1
321,1985,N/A,018938,001,NDF,1986-09-24,N/A,N/A,1
322,1985,N/A,018947,001,NS,1986-09-24,N/A,N/A,1
323,1985,N/A,018949,001,NCE,1990-05-08,N/A,N/A,1
324,1985,N/A,018967,001,NS,1986-09-24,N/A,N/A,1
325,1985,N/A,018967,002,NS,1986-09-24,N/A,N/A,1
326,1985,N/A,018967,003,NS,1986-09-24,N/A,N/A,1
327,1985,N/A,018977,001,D-6,1986-09-24,N/A,N/A,1
328,1985,N/A,018977,002,D-6,1986-09-24,N/A,N/A,1
329,1985,N/A,018985,001,D-3,1986-09-24,N/A,N/A,1
330,1985,N/A,018985,002,D-3,1986-09-24,N/A,N/A,1
331,1985,N/A,018986,001,NDF,1986-09-24,N/A,N/A,1
332,1985,N/A,018989,001,NS,1986-09-24,N/A,N/A,1
333,1985,N/A,018991,001,NP,1986-09-24,N/A,N/A,1
334,1985,N/A,018997,001,NP,1986-09-24,N/A,N/A,1
335,1985,N/A,019004,001,D-4,1986-09-24,N/A,N/A,1
336,1985,N/A,019004,002,D-4,1986-09-24,N/A,N/A,1
337,1985,N/A,019006,001,NC,1986-09-24,N/A,N/A,1
338,1985,N/A,019010,001,NCE,1990-04-09,N/A,N/A,1
339,1985,N/A,019012,001,NS,1986-09-24,N/A,N/A,1
340,1985,N/A,019018,001,NS,1986-09-24,N/A,N/A,1
341,1985,N/A,019024,001,NC,1986-09-24,N/A,N/A,1
342,1985,N/A,019034,001,NCE,1994-01-11,N/A,N/A,1
343,1985,N/A,019037,001,NDF,1986-09-24,N/A,N/A,1
344,1985,N/A,019047,001,NC,1986-09-24,N/A,N/A,1
345,1985,N/A,019050,001,NCE,1994-05-04,N/A,N/A,1
346,1985,N/A,019069,001,NS,1988-04-19,N/A,N/A,1
347,1985,N/A,019090,001,NCE,1993-06-09,N/A,N/A,1
348,1985,N/A,019106,001,NP,1986-09-24,N/A,N/A,1
349,1985,N/A,019129,001,NS,1987-10-22,N/A,N/A,1
350,1985,N/A,019130,001,NC,1986-09-24,N/A,N/A,1
351,1985,N/A,019130,002,NC,1986-09-24,N/A,N/A,1
352,1985,N/A,019130,003,NC,1986-09-24,N/A,N/A,1
353,1985,N/A,019155,001,NE,1988-04-24,N/A,N/A,1
354,1985,N/A,019190,001,NS,1987-11-01,N/A,N/A,1
355,1985,N/A,019192,001,NS,1987-11-01,N/A,N/A,1
356,1985,N/A,019208,001,RTO,1986-09-24,N/A,N/A,1
357,1985,N/A,084453,001,RTO,1986-09-24,N/A,N/A,1
358,1985,N/A,085024,002,RTO,1986-09-24,N/A,N/A,1
359,1985,N/A,085094,001,RTO,1986-09-24,N/A,N/A,1
360,1985,N/A,085610,001,RTO,1986-09-24,N/A,N/A,1
361,1985,N/A,085940,001,RTO,1986-09-24,N/A,N/A,1
362,1985,N/A,086069,001,NDF,1986-09-24,N/A,N/A,1
363,1985,N/A,087442,004,NS,1986-09-24,N/A,N/A,1
364,1985,N/A,087514,001,RTO,1986-09-24,N/A,N/A,1
365,1985,N/A,087963,001,RTO,1986-09-24,N/A,N/A,1
366,1985,N/A,088052,001,NDF,1986-09-24,N/A,N/A,1
367,1985,N/A,088112,001,RTO,1986-09-24,N/A,N/A,1
368,1985,N/A,088115,001,RTO,1986-09-24,N/A,N/A,1
369,1985,N/A,088116,001,RTO,1986-09-24,N/A,N/A,1
370,1985,N/A,088118,001,RTO,1986-09-24,N/A,N/A,1
371,1985,N/A,088192,001,RTO,1986-09-24,N/A,N/A,1
372,1985,N/A,088213,001,RTO,1986-09-24,N/A,N/A,1
373,1985,N/A,088316,001,NS,1986-09-24,N/A,N/A,1
374,1985,N/A,088318,001,RTO,1986-09-24,N/A,N/A,1
375,1985,N/A,088481,001,NS,1986-09-24,N/A,N/A,1
376,1987,N/A,012836,003,I-49,1989-12-22,DIPYRIDAMOLE,PERSANTINE,1
377,1987,N/A,013601,001,I-40,1988-01-31,ACETYLCYSTEINE,MUCOMYST,1
378,1987,N/A,013601,002,I-40,1988-01-31,ACETYLCYSTEINE,MUCOMYST,1
379,1987,N/A,016418,001,D-7,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
380,1987,N/A,016418,001,I-48,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
381,1987,N/A,016418,002,D-7,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
382,1987,N/A,016418,002,I-48,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
383,1987,N/A,016418,003,D-7,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
384,1987,N/A,016418,003,I-48,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
385,1987,N/A,016418,004,D-7,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
386,1987,N/A,016418,004,I-48,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
387,1987,N/A,016418,009,D-7,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
388,1987,N/A,016418,009,I-48,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
389,1987,N/A,016418,010,D-7,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
390,1987,N/A,016418,010,I-48,1989-10-31,PROPRANOLOL HYDROCHLORIDE,INDERAL,1
391,1987,N/A,016983,001,I-36,1988-09-09,IOTHALAMATE MEGLUMINE,CONRAY-30,1
