,use_code,use_code_desc,edition
61,U-35,A PROCESS FOR INHIBITING THE SECRETION OF PROLACTIN IN MAMMALS,1989
62,U-36,A PROCESS FOR TREATING A PATIENT SUFFERING FROM PARKINSON’S SYNDROME AND IN NEED OF TREATMENT,1989
63,U-37,METHOD FOR CHOLESTEROL LOWERING,1989
64,U-38,TREATMENT OF HUMANS SUFFERING FROM UNDESIRED UROTOXIC SIDE EFFECTS CAUSED BY CYTOSTATICALLY ACTIVE ALKYLATING AGENTS,1989
65,U-39,"METHOD OF COMBATING PATHOLOGICALLY REDUCED CEREBRAL FUNCTIONS AND PERFORMANCE WEAKNESSES, CEREBRAL INSUFFICIENCY AND DISORDERS IN CEREBRAL CIRCULATION AND METABOLISM IN WARM-BLOODED ANIMALS",1989
66,U-40,METHOD OF EFFECTING CORONARY VASCULAR DILATION IN HUMANS AND ANIMALS,1989
67,U,"PATENT USE CODE (SEE REFERENCES, BELOW)",1990
68,U-1,PREVENTION OF PREGNANCY,1990
69,U-2,TREATMENT OR PROPHYLAXIS OF ANGINA PECTORIS AND ARRHYTHMIA,1990
70,U-3,TREATMENT OF HYPERTENSION,1990
71,U-4,PROVIDING PREVENTION AND TREATMENT OF EMESIS AND NAUSEA IN MAMMALS,1990
72,U-5,METHOD OF PRODUCING BRONCHODILATION,1990
73,U-6,METHOD OF PRODUCING SYMPATHOMIMETIC EFFECTS,1990
74,U-7,INCREASING CARDIAC CONTRACTILITY,1990
75,U-8,ACUTE MYOCARDIAL INFARCTION,1990
76,U-9,CONTROL OF EMESIS ASSOCIATED WITH ANY CANCER CHEMOTHERAPY AGENT,1990
77,U-10,DIAGNOSTIC METHOD FOR DISTINGUISHING BETWEEN HYPOTHALMIC MALFUNCTIONS OR LESIONS IN HUMANS,1990
78,U-11,TREATMENT OR PROPHYLAXIS OF CARDIAC DISORDERS,1990
79,U-12,METHOD OF TREATING [A] HUMAN SUFFERING FROM DEPRESSION,1990
80,U-13,A METHOD FOR TREATING ANXIETY IN A HUMAN SUBJECT IN NEED OF SUCH TREATMENT,1990
81,U-14,ADJUNCTIVE THERAPY FOR THE PREVENTION AND TREATMENT OF HYPERAMMONEMIA IN THE CHRONIC MANAGEMENT OF PATIENTS WITH UREA CYCLE ENZYMOPATHIES,1990
82,U-15,METHOD OF LOWERING INTRAOCULAR PRESSURE,1990
83,U-16,USE IN LUNG SCANNING PROCEDURES,1990
84,U-17,TREATMENT OF VENTRICULAR AND SUPRAVENTRICULAR ARRHYTHMIAS,1990
85,U-18,METHOD FOR INHIBITING GASTRIC SECRETION IN MAMMALS,1990
86,U-19,TREATMENT OF INFLAMMATION,1990
87,U-20,A PROCESS FOR TREATING A PATIENT SUFFERING FROM PARKINSON’S SYNDROME AND IN NEED OF TREATMENT,1990
88,U-21,TREATMENT OF HUMANS SUFFERING FROM UNDESIRED UROTOXIC SIDE EFFECTS CAUSED BY CYTOSTATICALLY ACTIVE ALKYLATING AGENTS,1990
89,U-22,"METHOD OF COMBATING PATHOLOGICALLY REDUCED CEREBRAL FUNCTIONS AND PERFORMANCE WEAKNESSES, CEREBRAL INSUFFICIENCY AND DISORDERS IN CEREBRAL CIRCULATION AND METABOLISM IN WARM-BLOODED ANIMALS",1990
90,U-23,METHOD FOR TREATING PROSTATIC CARCINOMA COMPRISING ADMINISTERING FLUTAMIDE,1990
91,U-24,METHOD FOR TREATING PROSTATE ADENOCARCINOMA COMPRISING ADMINISTERING AN ANTIANDROGEN INCLUDING FLUTAMIDE AND AN LHRH AGONIST,1990
92,U-25,REDUCING CHOLESTEROL IN CHOLELITHIASIS PATIENTS,1990
93,U-26,REDUCING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,1990
94,U-27,DISSOLVING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,1990
95,U-28,"CEREBRAL, CORONARY, PERIPHERAL, VISCERAL AND RENAL ARTERIOGRAPHY, AORTOGRAPHY AND LEFT VENTRICULOGRAPHY",1990
96,U-29,"CT IMAGING OF THE HEAD AND BODY, AND INTRAVENOUS EXCRETORY UROGRAPHY",1990
97,U-30,"CEREBRAL ANGIOGRAPHY, AND VENOGRAPHY",1990
98,U-31,INTRA-ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY,1990
99,U-32,"PALLIATIVE TREATMENT OF PATIENTS WITH OVARIAN CARCINOMA RECURRENT AFTER PRIOR CHEMOTHERAPY, INCLUDING PATIENTS WHO HAVE BEEN PREVIOUSLY TREATED WITH CISPLATIN",1990
100,U-33,TREATING VIRAL INFECTIONS IN A MAMMAL,1990
101,U-34,TREATING VIRAL INFECTIONS IN A WARM-BLOODED ANIMAL,1990
102,U-35,TREATING CYTOMEGALOVIRUS IN A HUMAN WITH AN INJECTABLE COMPOSITION,1990
103,U-36,METHODS OF TREATING BACTERIAL ILLNESSES,1990
104,U-37,METHOD OF TREATING GASTROINTESTINAL DISEASE,1990
105,U-38,TREATMENT OF PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA,1990
106,U-39,ANGINA PECTORIS,1990
107,U-40,METHOD OF TREATMENT OF BURNS,1990
108,U-41,METHOD OF TREATING CARDIAC ARRHYTHMIAS,1990
109,U,"PATENT USE CODE (SEE REFERENCES, BELOW)",1991
110,U-1,PREVENTION OF PREGNANCY,1991
111,U-2,TREATMENT OR PROPHYLAXIS OF ANGINA PECTORIS AND ARRHYTHMIA,1991
112,U-3,TREATMENT OF HYPERTENSION,1991
113,U-4,PROVIDING PREVENTION AND TREATMENT OF EMESIS AND NAUSEA IN MAMMALS,1991
114,U-5,METHOD OF PRODUCING BRONCHODILATION,1991
115,U-6,METHOD OF PRODUCING SYMPATHOMIMETIC EFFECTS,1991
116,U-7,INCREASING CARDIAC CONTRACTILITY,1991
117,U-8,ACUTE MYOCARDIAL INFARCTION,1991
118,U-9,CONTROL OF EMESIS ASSOCIATED WITH ANY CANCER CHEMOTHERAPY AGENT,1991
119,U-10,DIAGNOSTIC METHOD FOR DISTINGUISHING BETWEEN HYPOTHALMIC MALFUNCTIONS OR LESIONS IN HUMANS,1991
120,U-11,TREATMENT OR PROPHYLAXIS OF CARDIAC DISORDERS,1991
121,U-12,METHOD OF TREATING [A] HUMAN SUFFERING FROM DEPRESSION,1991
122,U-13,A METHOD FOR TREATING ANXIETY IN A HUMAN SUBJECT IN NEED OF SUCH TREATMENT,1991
123,U-14,ADJUNCTIVE THERAPY FOR THE PREVENTION AND TREATMENT OF HYPERAMMONEMIA IN THE CHRONIC MANAGEMENT OF PATIENTS WITH UREA CYCLE ENZYMOPATHIES,1991
124,U-15,METHOD OF LOWERING INTRAOCULAR PRESSURE,1991
125,U-16,USE IN LUNG SCANNING PROCEDURES,1991
126,U-17,TREATMENT OF VENTRICULAR AND SUPRAVENTRICULAR ARRHYTHMIAS,1991
127,U-18,METHOD FOR INHIBITING GASTRIC SECRETION IN MAMMALS,1991
128,U-19,TREATMENT OF INFLAMMATION,1991
129,U-20,A PROCESS FOR TREATING A PATIENT SUFFERING FROM PARKINSON'S SYNDROME AND IN NEED OF TREATMENT,1991
130,U-21,TREATMENT OF HUMANS SUFFERING FROM UNDESIRED UROTOXIC SIDE EFFECTS CAUSED BY CYTOSTATICALLY ACTIVE ALKYLATING AGENTS,1991
131,U-22,"METHOD OF COMBATTING PATHOLOGICALLY REDUCED CEREBRAL FUNCTIONS AND PERFORMANCE WEAKNESSES, CEREBRAL INSUFFICIENCY AND DISORDERS IN CEREBRAL CIRCULATION AND METABOLISM IN WARM-BLOODED ANIMALS",1991
132,U-23,METHOD FOR TREATING PROSTATIC CARCINOMA COMPRISING ADMINISTERING FLUTAMIDE,1991
133,U-24,METHOD FOR TREATING PROSTATE ADENOCARCINOMA COMPRISING ADMINISTERING AN ANTIANDROGEN INCLUDING FLUTAMIDE AND AN LHRH AGONIST,1991
134,U-25,REDUCING CHOLESTEROL IN CHOLELITHIASIS PATIENTS,1991
135,U-26,REDUCING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,1991
136,U-27,DISSOLVING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,1991
137,U-28,"CEREBRAL, CORONARY, PERIPHERAL, VISCERAL AND RENAL ARTERIOGRAPHY, AORTOGRAPHY AND LEFT VENTRICULOGRAPHY",1991
138,U-29,"CT IMAGING OF THE HEAD AND BODY, AND INTRAVENOUS EXCRETORY UROGRAPHY",1991
139,U-30,"CEREBRAL ANGIOGRAPHY, AND VENOGRAPHY",1991
140,U-31,INTRA-ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY,1991
141,U-32,"PALLIATIVE TREATMENT OF PATIENTS WITH OVARIAN CARCINOMA RECURRENT AFTER PRIOR CHEMOTHERAPY, INCLUDING PATIENTS WHO HAVE BEEN PREVIOUSLY TREATED WITH CISPLATIN",1991
142,U-33,TREATING VIRAL INFECTIONS IN A MAMMAL,1991
143,U-34,TREATING VIRAL INFECTIONS IN A WARM-BLOODED ANIMAL,1991
144,U-35,TREATING CYTOMEGALOVIRUS IN A HUMAN WITH AN INJECTABLE COMPOSITION,1991
145,U-36,METHODS OF TREATING BACTERIAL ILLNESSES,1991
146,U-37,METHOD OF TREATING GASTROINTESTINAL DISEASE,1991
147,U-38,TREATMENT OF PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA,1991
148,U-39,ANGINA PECTORIS,1991
149,U-40,METHOD OF TREATMENT OF BURNS,1991
150,U-41,METHOD OF TREATING CARDIAC ARRHYTHMIAS,1991
151,U-42,ADJUVANT TREATMENT IN COMBINATION WITH FLUOROURACIL AFTER SURGICAL RESECTION IN PATIENTS WITH DUKES’ STAGE C COLON CANCER,1991
152,U-43,MANAGEMENT OF CHRONIC PAIN IN PATIENTS REQUIRING OPIOID ANALGESIA,1991
153,U,"PATENT USE CODE (SEE REFERENCES, BELOW)",1992
154,U-1,PREVENTION OF PREGNANCY,1992
155,U-2,TREATMENT OR PROPHYLAXIS OF ANGINA PECTORIS AND ARRHYTHMIA,1992
156,U-3,TREATMENT OF HYPERTENSION,1992
157,U-4,PROVIDING PREVENTION AND TREATMENT OF EMESIS AND NAUSEA IN MAMMALS,1992
158,U-5,METHOD OF PRODUCING BRONCHODILATION,1992
159,U-6,METHOD OF PRODUCING SYMPATHOMIMETIC EFFECTS,1992
160,U-7,INCREASING CARDIAC CONTRACTILITY,1992
161,U-8,ACUTE MYOCARDIAL INFARCTION,1992
162,U-9,CONTROL OF EMESIS ASSOCIATED WITH ANY CANCER CHEMOTHERAPY AGENT,1992
163,U-10,DIAGNOSTIC METHOD FOR DISTINGUISHING BETWEEN HYPOTHALMIC MALFUNCTIONS OR LESIONS IN HUMANS,1992
164,U-11,TREATMENT OR PROPHYLAXIS OF CARDIAC DISORDERS,1992
165,U-12,METHOD OF TREATING [A] HUMAN SUFFERING FROM DEPRESSION,1992
166,U-13,A METHOD FOR TREATING ANXIETY IN A HUMAN SUBJECT IN NEED OF SUCH TREATMENT,1992
167,U-14,ADJUNCTIVE THERAPY FOR THE PREVENTION AND TREATMENT OF HYPERAMMONEMIA IN THE CHRONIC MANAGEMENT OF PATIENTS WITH UREA CYCLE ENZYMOPATHIES,1992
168,U-15,METHOD OF LOWERING INTRAOCULAR PRESSURE,1992
169,U-16,USE IN LUNG SCANNING PROCEDURES,1992
170,U-17,TREATMENT OF VENTRICULAR AND SUPRAVENTRICULAR ARRHYTHMIAS,1992
171,U-18,METHOD FOR INHIBITING GASTRIC SECRETION IN MAMMALS,1992
172,U-19,TREATMENT OF INFLAMMATION,1992
173,U-20,A PROCESS FOR TREATING A PATIENT SUFFERING FROM PARKINSON'S SYNDROME AND IN NEED OF TREATMENT,1992
174,U-21,TREATMENT OF HUMANS SUFFERING UNDESIRED UROTOXIC SIDE EFFECTS CAUSED BY CYTOSTATICALLY ACTIVE ALKYLATING AGENTS,1992
175,U-22,"METHOD OF COMBATTING PATHOLOGICALLY REDUCED CEREBRAL FUNCTIONS AND PERFORMANCE WEAKNESSES, CEREBRAL INSUFFICIENCY AND DISORDERS IN CEREBRAL CIRCULATION AND METABOLISM IN WARM-BLOODED ANIMALS",1992
176,U-23,METHOD FOR TREATING PROSTATIC CARCINOMA COMPRISING ADMINISTERING FLUTAMIDE,1992
177,U-24,METHOD FOR TREATING PROSTATE ADENOCARCINOMA COMPRISING ADMINISTERING AN ANTIANDROGEN INCLUDING FLUTAMIDE AND AN LHRH AGONIST,1992
178,U-25,REDUCING CHOLESTEROL IN CHOLELITHIASIS PATIENTS,1992
179,U-26,REDUCING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,1992
180,U-27,DISSOLVING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,1992
181,U-28,"CEREBRAL, CORONARY, PERIPHERAL, VISCERAL AND RENAL ARTERIOGRAPHY, AORTOGRAPHY AND LEFT VENTRICULOGRAPHY",1992
182,U-29,"CT IMAGING OF THE HEAD AND BODY, AND INTRAVENOUS EXCRETORY UROGRAPHY",1992
183,U-30,"CEREBRAL ANGIOGRAPHY, AND VENOGRAPHY",1992
184,U-31,INTRA-ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY,1992
185,U-32,"PALLIATIVE TREATMENT OF PATIENTS WITH OVARIAN CARCINOMA RECURRENT AFTER PRIOR CHEMOTHERAPY, INCLUDING PATIENTS WHO HAVE BEEN PREVIOUSLY TREATED WITH CISPLATIN",1992
186,U-33,TREATING VIRAL INFECTIONS IN A MAMMAL,1992
187,U-34,TREATING VIRAL INFECTIONS IN A WARM-BLOODED ANIMAL,1992
188,U-35,TREATING CYTOMEGALOVIRUS IN A HUMAN WITH AN INJECTABLE COMPOSITION,1992
189,U-36,METHODS OF TREATING BACTERIAL ILLNESSES,1992
190,U-37,METHOD OF TREATING GASTROINTESTINAL DISEASE,1992
191,U-38,TREATMENT OF PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA,1992
192,U-39,ANGINA PECTORIS,1992
193,U-40,METHOD OF TREATMENT OF BURNS,1992
194,U-41,METHOD OF TREATING CARDIAC ARRHYTHMIAS,1992
195,U-42,ADJUVANT TREATMENT IN COMBINATION WITH FLUOROURACIL AFTER SURGICAL RESECTION IN PATIENTS WITH DUKES' STAGE C COLON CANCER,1992
196,U-43,MANAGEMENT OF CHRONIC PAIN IN PATIENTS REQUIRING OPIOID ANALGESIA,1992
197,U-44,RELIEF OF NAUSEA AND VOMITING,1992
198,U-45,TREATMENT OF INFLAMMATION AND ANALGESIA,1992
199,U-46,TREATMENT OF PANIC DISORDER,1992
200,U-47,STIMULATION OF THE RELEASE OF GROWTH HORMONE,1992
201,U-48,ANALGESIA,1992
202,U-49,SYMPTOMATIC CANCER-RELATED HYPERCALCEMIA,1992
203,U-50,USE IN TREATING INFLAMMATORY DERMATOSES,1992
204,U-51,"BLOOD POOL IMAGING, INCLUDING FIRST PASS AND GATED EQUILIBRIUM IMAGING AND FOR DETECTION OF SITES OF GASTROINTESTINAL BLEEDING",1992
205,U-52,TREATMENT OF ADULT AND PEDIATRIC PATIENTS (OVER SIX MONTHS OF AGE) WITH ADVANCED HIV INFECTION,1992
206,U-53,HYPERCALCEMIA OF MALIGNANCY,1992
207,U-54,REVERSAL AGENT OR ANTAGONIST OF NONDEPOLARIZING NEUROMUSCULAR BLOCKING AGENTS,1992
208,U-55,TREATMENT OF PAIN,1992
209,U-56,AID TO SMOKING CESSATION,1992
210,U,"PATENT USE CODE (SEE REFERENCES, BELOW)",1993
211,U-1,PREVENTION OF PREGNANCY,1993
212,U-2,TREATMENT OR PROPHYLAXIS OF ANGINA PECTORIS AND ARRHYTHMIA,1993
213,U-3,TREATMENT OF HYPERTENSION,1993
214,U-4,PROVIDING PREVENTION AND TREATMENT OF EMESIS AND NAUSEA IN MAMMALS,1993
215,U-5,METHOD OF PRODUCING BRONCHODILATION,1993
216,U-6,METHOD OF PRODUCING SYMPATHOMIMETIC EFFECTS,1993
217,U-7,INCREASING CARDIAC CONTRACTILITY,1993
218,U-8,ACUTE MYOCARDIAL INFARCTION,1993
219,U-9,CONTROL OF EMESIS ASSOCIATED WITH ANY CANCER CHEMOTHERAPY AGENT,1993
220,U-10,DIAGNOSTIC METHOD FOR DISTINGUISHING BETWEEN HYPOTHALMIC MALFUNCTIONS OR LESIONS IN HUMANS,1993
221,U-11,TREATMENT OR PROPHYLAXIS OF CARDIAC DISORDERS,1993
222,U-12,METHOD OF TREATING [A] HUMAN SUFFERING FROM DEPRESSION,1993
223,U-13,A METHOD FOR TREATING ANXIETY IN A HUMAN SUBJECT IN NEED OF SUCH TREATMENT,1993
224,U-14,ADJUNCTIVE THERAPY FOR THE PREVENTION AND TREATMENT OF HYPERAMMONEMIA IN THE CHRONIC MANAGEMENT OF PATIENTS WITH UREA CYCLE ENZYMOPATHIES,1993
225,U-15,METHOD OF LOWERING INTRAOCULAR PRESSURE,1993
226,U-16,USE IN LUNG SCANNING PROCEDURES,1993
227,U-17,TREATMENT OF VENTRICULAR AND SUPRAVENTRICULAR ARRHYTHMIAS,1993
228,U-18,METHOD FOR INHIBITING GASTRIC SECRETION IN MAMMALS,1993
229,U-19,TREATMENT OF INFLAMMATION,1993
230,U-20,A PROCESS FOR TREATING A PATIENT SUFFERING FROM PARKINSON'S SYNDROME AND IN NEED OF TREATMENT,1993
231,U-21,TREATMENT OF HUMANS SUFFERING UNDESIRED UROTOXIC SIDE EFFECTS CAUSED BY CYTOSTATICALLY ACTIVE ALKYLATING AGENTS,1993
232,U-22,"METHOD OF COMBATTING PATHOLOGICALLY REDUCED CEREBRAL FUNCTIONS AND PERFORMANCE WEAKNESSES, CEREBRAL INSUFFICIENCY AND DISORDERS IN CEREBRAL CIRCULATION AND METABOLISM IN WARM-BLOODED ANIMALS",1993
233,U-23,METHOD FOR TREATING PROSTATIC CARCINOMA COMPRISING ADMINISTERING FLUTAMIDE,1993
234,U-24,METHOD FOR TREATING PROSTATE ADENOCARCINOMA COMPRISING ADMINISTERING AN ANTIANDROGEN INCLUDING FLUTAMIDE AND AN LHRH AGONIST,1993
235,U-25,REDUCING CHOLESTEROL IN CHOLELITHIASIS PATIENTS,1993
236,U-26,REDUCING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,1993
237,U-27,DISSOLVING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,1993
238,U-28,"CEREBRAL, CORONARY, PERIPHERAL, VISCERAL AND RENAL ARTERIOGRAPHY, AORTOGRAPHY AND LEFT VENTRICULOGRAPHY",1993
239,U-29,"CT IMAGING OF THE HEAD AND BODY, AND INTRAVENOUS EXCRETORY UROGRAPHY",1993
240,U-30,"CEREBRAL ANGIOGRAPHY, AND VENOGRAPHY",1993
241,U-31,INTRA-ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY,1993
242,U-32,"PALLIATIVE TREATMENT OF PATIENTS WITH OVARIAN CARCINOMA RECURRENT AFTER PRIOR CHEMOTHERAPY, INCLUDING PATIENTS WHO HAVE BEEN PREVIOUSLY TREATED WITH CISPLATIN",1993
243,U-33,TREATING VIRAL INFECTIONS IN A MAMMAL,1993
244,U-34,TREATING VIRAL INFECTIONS IN A WARM-BLOODED ANIMAL,1993
245,U-35,TREATING CYTOMEGALOVIRUS IN A HUMAN WITH AN INJECTABLE COMPOSITION,1993
246,U-36,METHODS OF TREATING BACTERIAL ILLNESSES,1993
247,U-37,METHOD OF TREATING GASTROINTESTINAL DISEASE,1993
248,U-38,TREATMENT OF PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA,1993
249,U-39,ANGINA PECTORIS,1993
250,U-40,METHOD OF TREATMENT OF BURNS,1993
251,U-41,METHOD OF TREATING CARDIAC ARRHYTHMIAS,1993
252,U-42,ADJUVANT TREATMENT IN COMBINATION WITH FLUOROURACIL AFTER SURGICAL RESECTION IN PATIENTS WITH DUKES' STAGE C COLON CANCER,1993
253,U-43,MANAGEMENT OF CHRONIC PAIN IN PATIENTS REQUIRING OPIOID ANALGESIA,1993
254,U-44,RELIEF OF NAUSEA AND VOMITING,1993
255,U-45,TREATMENT OF INFLAMMATION AND ANALGESIA,1993
256,U-46,TREATMENT OF PANIC DISORDER,1993
257,U-47,STIMULATION OF THE RELEASE OF GROWTH HORMONE,1993
258,U-48,ANALGESIA,1993
259,U-49,SYMPTOMATIC CANCER-RELATED HYPERCALCEMIA,1993
260,U-50,USE IN TREATING INFLAMMATORY DERMATOSES,1993
261,U-51,"BLOOD POOL IMAGING, INCLUDING CARDIAC FIRST PASS AND GATED EQUILIBRIUM IMAGING AND FOR DETECTION OF SITES OF GASTROINTESTINAL BLEEDING",1993
262,U-52,TREATMENT OF ADULT AND PEDIATRIC PATIENTS (OVER SIX MONTHS OF AGE) WITH ADVANCED HIV INFECTION,1993
263,U-53,HYPERCALCEMIA OF MALIGNANCY,1993
264,U-54,REVERSAL AGENT OR ANTAGONIST OF NONDEPOLARIZING NEUROMUSCULAR BLOCKING AGENTS,1993
265,U-55,TREATMENT OF PAIN,1993
266,U-56,AID TO SMOKING CESSATION,1993
267,U-57,OPHTHALMIC USE OF NORFLOXACIN,1993
268,U-58,METHOD OF TREATING INFLAMMATORY INTESTINAL DISEASES,1993
269,U-59,METHOD OF TREATING HYPERCHOLESTEROLEMIA,1993
270,U-60,NASAL ADMINISTRATION OF BUTORPHANOL,1993
271,U-61,CEREBRAL AND PERIPHERAL ARTERIOGRAPHY AND CT IMAGING OF THE HEAD,1993
272,U-62,"CORONARY ARTERIOGRAPHY, LEFT VENTRICULOGRAPHY, CT IMAGING OF THE BODY, INTRAVENOUS EXCRETORY UROGRAPHY, INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY AND VENOGRAPHY",1993
273,U-63,ISOPRENALINE ANTAGONISM ON THE HEART RATE OR BLOOD PRESSURE,1993
274,U-64,TREATMENT OF VIRAL INFECTIONS,1993
275,U-65,METHOD OF TREATMENT OF A PATIENT INFECTED WITH HIV,1993
276,U-66,TRIPHASIC REGIMEN,1993
